GivenName,Surname,Birthday
Édith,Marcoux,5/25/1996
Delphine,Charlebois,6/29/1999
Cloridan,Laux,6/9/2001
Cammile,Desrosiers,5/22/1997
Gaspar,Fugère,3/31/2003
Fifine,Béland,12/10/2002
Fanette,Ricard,9/17/1997
Marsilius,Cuillerier,4/2/1998
Élise,Aubé,4/16/1998
Joséphine,Benjamin,2/15/1995
Élodie,Lacasse,5/2/2001
Marmion,Deschênes,3/7/1998
Franck,Duclos,1/24/2001
Auguste,Roy,7/3/2000
Catherine,Moïse,5/23/1995
Alfred,Bler,2/10/2003
Ferrau,"de Launay",5/19/1997
Sabine,Ruais,6/14/2004
Marie,Huppé,12/21/2002
Claire,Auberjonois,7/8/2002
Alain,Lépicier,6/7/1995
Loyal,Beauchamp,2/23/1999
Thomas,Longpré,1/21/1998
Frontino,Chouinard,6/18/2002
Nicolas,D'Avis,7/2/1996
Hedvige,Marquis,10/4/2001
Zurie,Louineaux,9/13/2004
Creissant,Bernier,4/8/1996
Geneviève,Fortier,7/27/1997
Kerman,Chaussée,12/26/1998
Mercer,Robitaille,7/16/2003
Tanguy,Lanteigne,12/17/1996
Raymond,Guilmette,9/9/1997
Pascaline,Marcheterre,5/1/1996
Gérard,Brisette,5/8/2004
Marsilius,Mouet,4/26/1997
Arthur,Sanschagrin,3/13/2000
Orville,Chenard,12/22/2003
Emmeline,Bélair,6/1/1995
Leverett,Busson,8/29/1995
Fantina,Royer,7/17/2004
Christophe,Bossé,3/14/1995
Henry,L'Anglais,4/16/2002
Gauthier,Lampron,9/19/1996
Charlotte,Saucier,8/26/2002
Avril,Pinette,7/20/2004
Clovis,Cartier,10/26/2001
Halette,Émond,11/18/2003
Guy,Ruel,7/2/2004
Didiane,Dubeau,2/28/2001
Armand,Pitre,6/14/1995
Armand,Louis,3/6/1997
Yvette,Lampron,2/24/2004
Langley,Trépanier,5/4/2001
Heloise,Chicoine,12/6/1995
Patrick,L'Heureux,6/30/1995
Bevis,Thériault,3/13/1996
Fayette,Chnadonnet,7/18/2001
Porter,Lauzier,10/18/1997
Calandre,Boisvert,1/18/1998
Alacoque,Dostie,1/12/1995
Roxanne,Bousquet,10/7/1997
Alexandrie,L'Heureux,12/12/1999
Jeannine,Faucher,9/9/1995
Marsilius,D'Aubigné,3/9/1998
Madeleine,Baril,1/3/2000
Jeanette,Casgrain,4/7/2000
Fantina,Levasseur,5/17/1995
Pensee,Sicard,6/26/1995
Amaury,Labrie,8/19/1998
Aubrette,Plaisance,5/18/2004
Bruno,Lapointe,4/27/2004
Antoine,Tremblay,7/29/1997
Maslin,Duhamel,4/5/1998
Toussaint,Echeverri,5/27/1999
Dominique,L'Angelier,11/9/1998
Océane,Létourneau,9/10/1997
Pierpont,Lévesque,6/30/2004
Zerbino,Foucault,6/26/2004
Rémy,Paquet,6/5/2000
René,Charpie,1/9/1996
Cendrillon,Guérette,12/9/2002
Maryse,Pinette,10/21/2000
Juliette,Despins,2/22/2002
Josephe,Méthot,4/6/2001
Daniel,Raymond,11/9/2002
Valentine,Vertefeuille,4/8/2004
Laetitia,Devost,1/3/1997
Galatee,Labrecque,6/10/2004
Telford,Veilleux,2/20/2000
Xavierre,Boisclair,3/16/1997
Rule,Dupont,7/16/1996
Ruby,Simard,1/30/2003
Véronique,Labrecque,1/8/1997
Sébastien,Harquin,3/11/1995
Jay,Allaire,9/28/2004
Mallory,Doyon,5/17/1997
Elita,Quinn,2/5/2000
Romaine,Lachapelle,11/23/1999
Ila,Duhamel,10/26/2000
Bellamy,Émond,9/21/1996
Victorine,Ferland,1/25/1997
Varden,Fouquet,6/6/2004
Alphonse,Lizotte,1/4/1999
Madeleine,Leduc,5/22/2004
Talbot,Laberge,12/5/1994
Fauna,Bélanger,8/21/2002
Isabelle,Moquin,7/12/1999
Hortense,Pépin,7/3/2001
Noémi,Ruest,1/15/2000
Richard,Jobin,6/13/2004
Clovis,Berthiaume,2/4/1995
Pascal,Jetté,9/29/2003
Ranger,Desnoyer,2/4/2003
Gay,Brousseau,5/25/1999
Anne,Poirier,4/14/1998
Georgette,Houde,7/7/1998
Colette,Davignon,1/9/2004
Thierry,Chesnay,5/6/2001
Aymon,Fecteau,12/28/1998
Luc,Laisné,6/29/1999
Antoinette,Ménard,1/18/1995
Prewitt,Mainville,12/6/1994
Beltane,Lejeune,7/3/1998
Clarimunda,Courcelle,8/27/2004
D'Arcy,Goddu,10/17/1995
Prunella,Plaisance,12/7/1997
Eloise,Cormier,2/19/2000
Françoise,Beaulieu,4/27/1997
Serge,Chesnay,4/2/1996
Marjolaine,Loiselle,3/2/2001
Normand,Fortin,2/9/2001
Annot,Truchon,5/6/2002
Pomeroy,Angélil,2/4/1999
Vedette,Beausoleil,6/26/1998
Véronique,Belisle,9/30/1999
Peverell,Lagacé,3/30/1999
Ogier,Petrie,12/15/1996
Dielle,Blanchard,7/14/1998
Campbell,Deniger,9/27/2002
Charline,Dupuis,12/21/2002
Auda,Loiseau,11/11/2002
Jeoffroi,Jobin,2/24/1995
Bellamy,Bélanger,4/11/1997
Alexandrie,Voisine,4/9/1997
Belda,Bler,1/13/1996
Paien,Salmons,6/6/1998
Raison,Séguin,9/4/1998
Joanna,Leroy,6/18/2000
Aleron,Mothé,9/8/1998
Vincent,Longpré,2/23/1996
Henriette,Berie,6/11/2003
Roch,Bordeaux,1/19/1997
Anouk,Guertin,10/2/2002
D'Arcy,Pitre,7/8/1998
Carolos,Salmons,11/12/1997
Villette,"Du Trieux",4/3/1995
Mason,Chnadonnet,12/3/2000
Philip,Monrency,6/18/2001
Avenall,Jetté,10/5/2003
Laurene,Beaulé,12/15/1999
Carolos,Sevier,10/11/1996
Pascaline,Brault,4/1/1997
Gérard,Tanguay,5/11/2000
Bertrand,Lacharité,12/6/1997
Christelle,Desroches,3/28/1995
Talbot,Jobin,12/25/1997
Mavise,Lebel,5/25/1998
Lucas,Séguin,4/10/1998
Leverett,Grivois,12/3/1997
Clémence,Guibord,8/21/1998
Joseph,Royer,12/29/1997
Arienne,Pitre,9/28/1998
Eglantine,Bordeleau,4/19/2004
Comforte,Lavoie,11/28/1997
Pensee,Marier,10/30/2004
Antoine,Quiron,5/25/2003
Alain,Lesage,7/5/1999
Campbell,Langlois,2/28/1998
Roland,Arpin,4/25/1999
Ila,Carrière,6/12/2003
Mercer,Bellefeuille,2/24/2000
Daisi,Chrétien,3/2/2003
Benoît,Boulé,3/20/1998
Arber,Caron,5/12/2003
Emmanuel,Tardif,12/18/2001
Richard,St-Jacques,11/21/1998
Dielle,Chauvin,5/15/1998
Gill,Abril,2/12/2002
Renée,Beauchamps,9/7/1999
Melusina,Cyr,12/8/1996
Geoffrey,Duplessis,3/26/2003
Archard,Saurel,4/2/2000
Viollette,St-Pierre,10/15/1997
Noémi,Vallée,1/26/2002
Jesper,Trudeau,7/31/1999
Arber,Chesnay,7/31/1998
Bernard,Gauvin,1/6/2004
Gaetan,Loiselle,3/10/2003
Aurélie,Plante,10/8/2002
Hugh,Cotuand,6/9/2000
Delit,Lagrange,7/3/2001
Daisi,Dionne,9/15/2000
Rosemarie,Riquier,11/7/2003
Orson,Durand,11/16/1995
Olivie,Desnoyer,10/27/2003
Sennet,Laberge,2/3/1998
Éléonore,Jodion,12/27/1995
Capucine,Desrosiers,1/7/1998
Roger,Riel,12/22/1996
Leverett,Varieur,5/8/2001
Ernest,Guilmette,9/9/1999
Frédéric,Louis,2/27/1999
Orson,Lefèbvre,3/5/1996
Claude,Busson,10/23/1998
Heloise,Arsenault,7/9/2002
Audric,Goulet,8/21/1995
Alain,Labrie,7/25/2003
Desire,Guernon,6/13/1998
Sibyla,D'Aoust,8/14/2002
Pensee,Ruais,3/30/2002
Anne,Jacques,11/28/1994
Cammile,Therriault,9/4/2001
Liane,Guay,2/5/2001
Durandana,Francoeur,9/16/2001
Bernard,LaGrande,4/15/1995
Renée,Metivier,6/11/2004
Nicholas,Charrette,9/1/2000
Corette,Vachon,6/2/1996
Franck,Lussier,11/21/1997
Gill,Denis,5/15/2001
Senior,Fontaine,4/23/1996
Céline,Daviau,11/16/2002
Patrice,Dastous,8/17/1997
Avice,Thibault,8/16/2002
Marthe,Babin,9/16/1995
Dominique,Bonsaint,11/12/2001
René,Lamarre,2/18/2000
Evrard,Vallée,7/11/1999
Isabelle,Desaulniers,7/15/2002
Luc,Lanoie,12/16/1995
Rule,Compagnon,5/29/2004
Sargent,Leclerc,10/2/2004
Michèle,Jacques,1/11/2003
Agramant,Grandpré,12/27/1997
André,Bussière,6/12/1999
Orva,Trépanier,3/18/1997
Honoré,Lamarre,4/18/2004
Annot,Beauchamp,1/13/1998
Fabienne,Arcouet,7/20/2002
Voleta,Simard,7/20/1999
Mariette,Sabourin,8/8/2001
Agathe,Desruisseaux,2/20/1997
Étienne,Dodier,11/22/2003
Andrée,Beaulé,1/17/1995
Corinne,"de Launay",3/3/1998
Sydney,Begin,4/12/1996
Melisande,Hervé,5/20/2001
Arnaud,Mailloux,7/3/1995
Carine,Benoit,9/14/1998
France,Berthelette,4/12/1997
Marshall,Lauzier,11/14/1999
Théodore,Riel,10/21/2004
Dixie,Brodeur,3/24/2002
Mignonette,Gabriaux,4/3/2003
Florus,Couturier,10/16/2003
Jolie,Lacombe,6/17/1995
Senior,Savard,5/2/1995
Namo,Béland,2/9/2000
Pierre,Deschamps,10/14/1995
Russell,Lamoureux,4/20/2003
Linette,Marseau,5/22/2000
Bruno,Tardif,4/25/1996
Mathilde,Despins,11/25/2003
Rive,Marquis,11/2/2000
Dominic,Lacasse,6/22/1998
Royden,Mailly,8/5/2000
Ermengardi,Hétu,4/30/1996
Brie,Jodoin,10/7/2003
Arienne,Bernier,2/3/2004
Artus,Cuillerier,2/20/1997
Verrill,Tollmache,7/30/1995
Berangaria,Dupuy,8/5/2002
Saber,Saucier,7/2/2003
Mavise,Roy,3/2/1996
Yvette,Lachance,5/13/1998
Marc,Quiron,7/31/2004
Bernard,Bazinet,1/31/1995
Christelle,René,4/11/2001
Josette,Franchet,5/27/2000
Amaury,Bellemare,5/18/2004
Fabien,Raymond,11/8/2002
Vignette,Chicoine,2/15/2004
Germaine,Dandonneau,1/21/1995
Rosamonde,Martel,7/28/1999
Antoine,Charpentier,8/24/1998
Amber,Latourelle,8/11/2004
Burrell,Cuillerier,12/9/1997
Annette,Bossé,1/28/1996
Dorothée,Lemelin,8/29/1995
Fleurette,Gosselin,5/9/1997
Richard,Bondy,7/26/2000
Platt,Noël,10/9/2002
Anton,Lapresse,2/17/1998
Luc,Dodier,2/14/1995
Tanguy,Gingras,11/26/1995
Clementine,Bler,3/30/2004
Julienne,Legault,12/14/1994
Henry,Sorel,11/14/1998
Marjolaine,Jalbert,5/17/2000
Huon,Binet,12/9/2000
Christiane,Paimboeuf,2/1/2002
Henry,Collin,6/29/1996
Paulette,Hughes,7/4/1995
Estelle,Chalut,3/11/1998
Stéphane,Laux,8/21/1998
Granville,Deserres,4/11/2004
Tyson,Chalifour,9/6/1995
Aya,Chastain,1/20/1995
Royale,Auger,5/2/2000
Amarante,Laderoute,4/13/1999
Aubert,Ducharme,10/20/1995
Mavise,Grivois,4/27/1998
Hortense,Michaud,12/4/1997
Gilbert,Grandpré,1/1/2002
Pansy,Paré,6/1/2003
Arno,Leclerc,11/21/1995
Porter,Patenaude,1/20/2003
Sennet,Rancourt,5/29/2001
Aymon,Lagueux,5/22/1998
Blanche,Camus,12/2/1998
Vail,"De La Ronde",1/30/2001
Peverell,Charpie,5/28/1996
Garland,Turgeon,2/10/2004
Russell,Lépicier,6/18/2002
Clovis,Barteaux,12/13/1996
"La Roux",Duplessis,6/15/2002
Neville,Aubé,6/4/1999
Searlait,Simon,1/11/2002
Delmare,Bélanger,3/13/1997
Solaine,Camus,2/3/1996
Karlotta,Daigle,2/3/2004
Serge,Émond,6/1/1998
Evrard,Moquin,8/22/2003
Antoinette,Courcelle,5/11/1997
Roland,Mercier,2/10/2004
Julie,Bourassa,2/4/2000
Fayme,Fournier,9/11/2000
Magnolia,Gaillard,11/15/1996
Rosamonde,Brian,8/8/1998
Eliot,D'Aoust,10/11/2000
Roger,Duplessis,8/15/2004
Agnès,Caya,2/23/2002
Genevre,Desnoyer,4/26/1995
Corinne,"Des Meaux",9/9/2000
Rosemarie,Aubin,3/21/2000
Felicien,Beausoleil,11/3/1999
Flordelis,"De La Vergne",12/12/1996
Rosamonde,Bonsaint,11/17/2002
Eglantine,Mercier,1/16/2002
Davet,René,8/7/2001
Tristan,Fluet,5/17/1997
Océane,Grandpré,1/13/1996
Senior,Cartier,9/25/1997
Dielle,Harquin,6/2/2003
Delmare,Sirois,2/25/1997
Delit,Perillard,8/14/1998
Paul,Beaujolie,8/24/2002
Aymon,Brisette,12/2/1995
Josette,Courtois,3/14/2002
Perrin,Ailleboust,9/6/1996
Archaimbau,Quenneville,7/29/2004
Valentine,Charpie,1/21/1996
Davet,Brunault,5/10/1996
Berangaria,Marcheterre,3/23/1995
Mason,Bernard,4/1/1996
Burkett,Lebel,7/8/2002
Chappell,Bois,9/28/1999
Carine,Duval,12/26/1996
Creissant,"de Launay",7/24/1998
Melville,Laframboise,2/27/1999
Clovis,Demers,10/25/2002
Ancelote,Vertefeuille,5/24/1998
Paien,Dufresne,9/13/1998
Joanna,Labrecque,12/7/2001
Germain,Croteau,5/22/2003
Arnou,Michel,11/18/2004
Avenall,Rossignol,8/24/1997
Kari,Boisclair,2/4/2002
Pinabel,Barrière,4/10/1999
Josette,Morin,9/12/1995
Pierpont,Desrosiers,4/16/2003
Charlotte,Thibault,2/9/1995
Sébastien,Gregoire,9/17/2004
Olympia,Hervé,8/29/2004
Albracca,Laforge,3/23/1997
Aloin,St-Jacques,1/30/1996
Vallis,Chabot,5/18/2001
Esperanza,Proulx,12/2/1995
Isabelle,Binet,2/18/2002
Marguerite,Berie,8/17/2000
Isaac,Lanteigne,11/20/1998
Patience,Bergeron,7/18/2001
Russell,Dagenais,3/14/2000
Rémy,Vachon,5/5/1998
Bertrand,Goddu,1/15/2002
Fauna,Binet,7/3/2003
Fanchon,Tremblay,4/3/2004
Parfait,Talon,11/5/2002
Raina,Bossé,4/11/1999
Martin,Édouard,5/31/1996
Warrane,Létourneau,9/23/2000
Fletcher,Gauvin,6/23/2002
D'Arcy,Gour,2/26/2004
Vedette,Mouet,3/16/2003
Corinne,Fouquet,11/6/2003
Millicent,Tachel,1/26/1996
Minette,Jardine,3/20/1995
Nadine,Louis,10/14/2003
Richard,LeBatelier,8/29/2001
Ninette,Beaudouin,7/21/1997
Louis,Lanoie,6/3/2003
Amaury,Courtemanche,3/25/1996
Andrée,Lepage,1/23/2002
Geneviève,Saindon,10/24/2003
Ganelon,Caisse,10/13/1997
Ferrau,Mazuret,2/9/1997
Creissant,Cailot,12/10/1996
Denis,Provencher,1/8/1997
Rule,Vincent,3/24/2003
Georges,Rousseau,11/22/2003
Laetitia,Souplet,3/24/1995
Thierry,Trépanier,3/17/2004
Alaine,Dupuis,5/15/2004
Benjamin,Pelchat,3/31/1998
Grosvenor,Denis,8/20/2003
Noël,Demers,6/28/1997
Audric,Provencher,2/2/2002
Landers,Bériault,9/8/1998
Ogier,Sarrazin,9/17/1995
Melisande,Guimond,1/16/2004
Lucille,Benoit,1/14/1999
Prunella,Deniger,8/24/1998
Donat,Faure,9/21/1998
Bellamy,Ruest,3/7/2000
William,Sauriol,2/27/2004
Paige,Ratté,7/10/1996
Roxanne,Tisserand,8/14/2000
Fleurette,Simon,4/1/2000
Lucille,Auclair,1/11/2003
Isabelle,Dandonneau,9/2/2002
Chandler,Truchon,7/14/2001
Agramant,Mothé,9/16/1997
Tabor,Lamontagne,6/10/1996
Ninette,Richer,12/10/1999
Christophe,Artois,4/4/1997
Aubrey,Champagne,5/4/1997
Odo,Perillard,7/13/1996
Leverett,Massé,3/19/2001
Ancelina,Desforges,8/17/1995
Crescent,Beausoleil,5/2/1995
Diane,Simard,5/25/2002
Delmare,Duplessis,12/10/2001
Constance,Mercier,12/7/1995
Virginie,Brousseau,2/5/1999
Vedette,Ratté,12/19/1997
Jessamine,Paimboeuf,11/22/2001
Sargent,Sevier,9/29/1996
Garland,Gousse,11/22/1997
Cécile,Mouet,4/8/2002
Xarles,Lachance,8/27/2003
Bartlett,Martel,5/2/1995
Gérard,Rocheleau,7/7/2004
Vincent,Gauvin,12/3/1998
Benjamin,Ruais,12/26/1999
Ignace,Parenteau,8/22/2001
Marlon,Chauvet,1/25/1998
Denise,Guédry,12/9/1995
Jolie,Bélanger,4/10/1995
Victoire,Lebel,11/7/2002
Latimer,Bisaillon,3/18/1999
Serge,Gamelin,12/17/2002
Amaury,Auclair,1/31/2004
Royale,Gladu,8/24/2000
Heloise,Raymond,11/19/2001
Agramant,Lesage,3/15/2004
Didier,Berthelette,2/25/1996
Peverell,Sauvé,4/20/2004
Anton,Laliberté,12/24/1998
Alain,Boileau,6/30/1998
Rabican,Deslauriers,5/4/2001
Leroy,Dumoulin,1/22/1997
Merle,Paquette,11/20/2004
Patricia,Lanoie,10/25/2002
Marcelle,Latourelle,8/28/2004
David,Gagné,6/16/1998
Rive,Langlois,2/8/1996
Malagigi,Lachance,2/8/2001
Dreux,Lambert,3/6/1998
Martine,Maheu,12/30/2001
Loyal,Desjardins,11/9/2000
Desire,Authier,4/17/1996
Harcourt,Chartier,10/27/1999
Quennel,Bossé,10/13/2004
Percy,Brian,1/28/2003
Jules,Rouleau,5/2/1996
Eugenia,Chnadonnet,10/4/1999
Archard,Tisserand,5/2/1996
Harriette,Miron,10/17/1995
Rachelle,Louineaux,8/2/1999
Satordi,Parmentier,12/15/2003
Lance,Simard,2/14/1996
Roux,Larocque,9/19/1999
Romain,Tollmache,12/26/1999
Thibaut,Levasseur,2/4/2003
Melusina,Chrétien,4/18/2002
Sibyla,Laramée,10/8/1996
Ruby,Desforges,4/29/2004
Josephe,Beaujolie,4/21/2001
Fleurette,Senneville,6/17/2004
Arienne,Lemelin,3/10/2002
Bradamate,Huppé,1/13/1999
Nicole,Laforest,5/18/1998
Gemma,Pitre,12/30/1998
Telford,Lang,12/28/2001
Juliette,Labrecque,7/13/1996
Xavierre,Marcheterre,10/18/2000
Arianne,Caisse,9/28/1996
Georges,Henrichon,8/15/1997
Telford,Hervé,4/23/1998
Gabrielle,Begin,1/3/1997
Aimé,Senneville,7/10/2002
Louise,Desrosiers,11/15/1998
Aiglentina,Dufour,1/10/1999
Melville,Lussier,12/15/2002
Legget,Larocque,6/20/1996
Gustave,Gour,5/13/2004
Inès,Brasseur,8/5/2001
Vallis,Bureau,7/14/1997
Joseph,Laurent,5/4/1996
Rosamonde,Quirion,1/26/2001
Mayhew,Étoile,8/4/1998
Paul,Crête,8/27/2001
Laurent,Duffet,4/3/1999
Dorothée,Ruel,11/29/1996
Alain,Mazuret,12/3/2000
Rachelle,Brousse,12/2/1994
Adélaïde,Morin,11/19/1999
Jay,Déziel,11/30/1998
Patrick,Jacques,5/29/1998
Melodie,Quenneville,1/20/1997
Madelene,Thibault,12/5/1994
Amber,Quiron,8/24/2004
Anaïs,Senneville,4/11/1995
Francis,Cliche,11/26/2003
Maurice,Tardif,5/1/1996
Kari,Routhier,7/13/1997
Théodore,Bourgeau,8/21/1999
Gabrielle,Chouinard,10/12/1997
Gaetane,Rodrigue,5/22/1999
Belisarda,Brochu,8/27/2002
Orane,Leduc,1/27/2003
Russell,Goulet,6/13/1997
Patricia,Bonenfant,9/11/2001
Rachelle,Brisette,3/16/1998
Avent,Provencher,8/19/2000
Lothair,Michaud,7/25/1995
Élisabeth,Lalonde,5/16/2003
Josephe,Marseau,4/13/1999
Thérèse,Leclair,7/6/2001
Anaïs,St-Pierre,10/30/2003
Montague,Garceau,6/11/1995
Maurice,Richard,6/30/1995
Laetitia,Chnadonnet,7/5/1998
Aiglentina,Lebrun,9/15/1999
Andrée,"De La Ronde",9/12/2001
Odelette,Gendron,1/11/2002
Archaimbau,Lepage,5/5/2003
Villette,Mercure,5/2/1998
Albertine,Labrecque,1/27/2003
Simone,Bédard,3/31/2002
Clarice,Dodier,6/27/1997
Nanna,Leroux,8/7/1998
Searlait,Vincent,5/13/2000
Richard,Levasseur,3/17/2004
Methena,Lafond,5/28/2003
Sébastien,Mathieu,3/28/1998
Azura,Vincent,12/12/1994
Thibaut,Lemieux,5/12/1998
Amitee,Boileau,10/24/1998
Tabor,St-Pierre,7/26/2000
Dominic,Hétu,12/18/2001
Angelette,Leroux,9/15/2002
Latimer,Aubin,4/24/2004
Fayette,Gaudreau,5/30/1998
Aubrette,Chaloux,11/14/2001
Mariette,Gaulin,4/2/1996
William,Berthelette,4/28/2000
Jeoffroi,Busson,5/30/1999
Etoile,Faubert,1/8/2003
Pauline,Audet,10/11/2004
Agate,Bazinet,10/1/1999
Fealty,"de Launay",5/5/2003
Annot,Boucher,5/15/2003
Rule,Fecteau,12/22/1995
Toussaint,Charpentier,5/26/2004
Hugues,Rousseau,8/17/1997
Ermengardi,Quinn,7/26/2000
Bellamy,Turcotte,10/31/2000
Nicholas,Lacombe,4/20/2004
Merci,Doiron,4/2/1996
Hugues,Rouze,2/4/2000
Aurore,Bourget,1/17/2001
Ila,Miron,9/8/1998
Louis,Fremont,3/28/1995
Lorraine,Tougas,1/10/1998
Quennel,Lapresse,2/18/2001
Fabien,Lebrun,4/6/1999
Fabien,Dubé,7/24/1999
Gemma,Massé,10/2/1999
Beaufort,Richer,4/17/2003
Alexandrin,Senneville,9/9/1999
Christine,Savoie,7/25/1997
Parfait,Beaujolie,4/19/2003
Leverett,Doiron,1/31/2001
Melodie,Pelchat,3/21/1999
Porter,Pirouet,3/25/1999
Seymour,Routhier,12/25/1995
Aubrette,Chartier,11/30/1998
Beltane,Bler,2/26/2003
William,Trottier,11/27/2000
Leal,Martin,4/22/2003
Danielle,Bouchard,1/13/1998
Peppin,Bousquet,12/2/1998
Bradamate,Richard,1/22/1996
Erembourg,Lereau,4/12/1999
Baptiste,Dionne,11/30/2003
Patrice,Bazin,5/14/1996
Cécile,Camus,1/26/2000
Mariette,Grimard,11/26/1996
Harbin,Morneau,7/18/1995
Paige,Blondlot,12/16/1997
Antoinette,Brasseur,10/11/1997
Phillipa,Rodrigue,2/5/1996
Aceline,Lalonde,2/28/1999
Timothée,Hervé,11/16/1997
Hugh,Gaulin,2/17/1999
Auguste,Galarneau,9/10/1996
Jérôme,Labossière,2/20/2003
Ogier,Charette,12/12/1995
Turner,Cadieux,3/7/1999
Fabienne,Perreault,5/30/2002
Timothée,Édouard,7/6/2003
Cécile,Bousquet,5/23/2003
Henriette,Covillon,5/20/2000
Blanche,Chnadonnet,7/23/1995
Creissant,Sauvé,3/21/1997
Francis,Savard,11/18/2004
Fleurette,Sabourin,12/30/1994
Alphonsine,Garreau,12/8/2003
Flordelis,Noël,11/21/1998
Roux,Potvin,5/17/2001
Anouk,Allard,12/20/1998
Eulalie,David,4/13/2003
Donatien,Achin,8/6/1996
Élise,Piedalue,5/14/1999
Talbot,Labrie,12/31/1997
Didiane,Richer,4/7/1997
Oliver,Charrette,1/26/2003
Porter,Boulé,4/11/1995
Melville,Giguère,7/16/1999
Trinette,Clément,4/8/1996
Patricia,Boileau,7/14/2003
Anaïs,Devost,1/25/1999
Chandler,Robert,4/23/1996
Aubrey,Chartier,12/10/1999
Zurie,Bélanger,11/22/2001
Geoffrey,Lafontaine,4/9/1999
Adorlee,Course,1/12/2000
Clémence,Lamare,12/1/2000
Searlas,Bouvier,6/3/1999
Chandler,DeGrasse,2/27/2001
Louise,Leblanc,3/30/1997
Merle,Bonsaint,1/2/1996
Eulalie,Lapointe,3/19/1998
Dexter,Quinn,9/30/2000
Maurice,Covillon,2/4/2004
Bernadette,Loiseau,10/30/2001
Paul,Briard,11/4/1995
Fabienne,Briard,5/12/2003
Gabriel,Dumoulin,8/25/1995
Eugenia,Pouliotte,3/17/2003
Marsilius,Laforest,1/24/1995
Delmar,Huot,6/18/1999
Florence,Potvin,2/21/1995
Warrane,Ricard,4/19/1998
Mallory,Lebel,8/28/1999
Courtland,Lejeune,6/23/2003
Fayette,Bordeleau,12/24/1994
Gano,David,4/5/1995
Jacquenett,Garnier,4/24/2002
Fleurette,Paulet,8/17/2004
Lorraine,Labrecque,9/23/1995
Hortense,Varieur,5/4/2003
Didiane,Devost,5/23/1997
Normand,Gervais,4/13/1998
Antoinette,Lazure,11/14/2002
Nathalie,Daviau,10/30/2003
"La Roux",Dagenais,8/10/2000
Lyle,Lapresse,12/10/2000
Vick,Neufville,1/14/2003
Heloise,Beaulac,2/13/1996
Capucine,Guédry,10/7/1995
Durandana,Barteaux,12/13/2002
Xavierre,Caya,5/31/2000
Alice,Doyon,2/16/1998
Astolpho,Riquier,3/16/1999
Mandel,Angélil,8/7/1997
Noël,Laframboise,6/8/2004
Christien,Arpin,8/7/2003
Florence,Frappier,11/10/1995
Matilda,Grimard,1/22/1999
Verney,Breton,8/16/2004
Guy,Gosselin,9/13/2001
Marshall,Beaulé,5/13/2003
Odo,Lapresse,9/18/1997
Ruby,Fecteau,6/26/1996
"La Roux",Bazinet,4/8/1999
Julien,Corbin,6/19/1997
Clementine,Boulé,8/22/1999
Seymour,Reault,9/26/2003
Martin,Forest,5/13/2004
Ambra,Gingras,8/29/1999
Montague,Meilleur,10/28/1995
Estelle,Querry,10/16/2002
Robinette,Chouinard,3/5/2002
Auguste,Panetier,10/23/2000
Forrest,Godin,3/6/1997
Noël,Lebel,4/6/1995
Alphonsine,Bizier,4/19/1996
Laurence,Ruais,12/4/1994
Yves,Beaujolie,1/8/1998
Villette,Rivard,4/11/2004
Émile,Desrosiers,1/20/2002
Chandler,Rochon,4/22/1999
Pansy,Gagné,10/1/2004
Maryse,Michel,3/31/1997
Eliot,Thivierge,11/2/1997
Olivie,Charbonneau,6/2/2004
Azura,Lefèbvre,5/18/2004
Agate,Salois,2/25/2000
Marcelle,Guernon,11/19/1996
Madelene,Louineaux,5/28/1995
Guy,Arsenault,11/30/1995
Ninette,Huot,3/15/1995
Zdenek,Vertefeuille,3/2/1997
Dielle,Hétu,3/9/1999
Albertine,Auclair,5/1/2002
Clothilde,Echeverri,2/20/2001
Parfait,Lamontagne,2/4/1999
Rabican,Rancourt,1/24/2000
Isaac,Talon,7/15/1999
Lyle,Panetier,7/28/1997
Vedette,Boisclair,10/4/1999
Latimer,Guilmette,4/13/2001
Archard,Létourneau,3/30/2003
Marthe,Guérette,5/17/1999
Damiane,Jomphe,4/7/2004
Fletcher,Fugère,2/16/1997
Christabel,Bienvenue,3/12/1999
Marc,Senneville,11/10/1997
Madeleine,Sauvé,4/8/2000
Belda,Narcisse,7/2/2003
Aubin,Lépicier,6/21/2000
Felicienne,Camus,9/6/1998
Dreux,Favreau,2/16/2003
Gauthier,Michaud,3/28/2000
Arlette,Chaloux,1/22/1998
Roxanne,Truchon,12/15/1996
Travers,Beaupré,8/29/1995
Isabelle,Laurent,4/4/2001
Vernon,Collin,4/20/2003
Loyal,Lafond,7/15/1995
Brunella,Brochu,4/5/1995
Roslyn,Fréchette,3/22/1996
Catherine,Legault,10/18/2002
Orane,Turgeon,11/27/2000
Théophile,Blondlot,4/19/2002
Langley,Thivierge,11/3/1998
Francis,Vaillancour,7/30/1998
Barry,Gilbert,1/17/1998
Christelle,Clément,5/17/2002
Ogier,Marier,10/29/2003
Harriette,Sciverit,2/13/1997
Gaspar,Beauchemin,12/15/1994
Éric,Gaudreau,8/7/2002
Searlas,Savoie,4/12/2003
Searlas,Fournier,2/1/1999
Clarimunda,Desnoyers,12/20/2001
Jay,Chartré,9/29/2003
Laverne,Couture,6/13/1998
Annette,Auclair,5/29/1996
Georgette,Querry,7/1/1999
Searlait,Lepage,7/26/2001
Avent,Ferland,5/27/2002
